Council area,Turnout,Yes %,No %,Yes,No
Aberdeen City,81.7,41.4,58.6,59390,84094
Aberdeenshire,87.2,39.6,60.4,71337,108606
Angus,85.8,43.7,56.3,35044,45192
Argyll and Bute,88.2,41.5,58.5,26324,37143
Clackmannanshire,88.6,46.2,53.8,16350,19036
Dumfries and Galloway,87.5,34.3,65.7,36614,70039
Dundee City,78.8,57.3,42.7,53620,39880
East Ayrshire,84.5,47.2,52.8,39762,44442
East Dunbartonshire,91,38.8,61.2,30624,48314
East Lothian,87.6,38.3,61.7,27467,44283
East Renfrewshire,90.5,36.8,63.2,24287,41690
City of Edinburgh,84.4,38.9,61.1,123927,194638
Na h-Eileanan an Iar,86.2,46.6,53.4,9195,10544
Falkirk,88.7,46.5,53.5,50489,58030
Fife,84.1,45,55,114148,139788
Glasgow City,75,53.5,46.5,194779,169347
Highland,87,47.1,52.9,78069,87739
Inverclyde,87.4,49.9,50.1,27243,27329
Midlothian,86.8,43.7,56.3,26370,33972
Moray,85.4,42.4,57.6,27232,36935
North Ayrshire,84.4,49,51,47072,49016
North Lanarkshire,84.4,51.1,48.9,115783,110922
Orkney Islands,83.7,32.8,67.2,4883,10004
Perth and Kinross,86.9,39.8,60.2,41475,62714
Renfrewshire,87.3,47.2,52.8,55466,62067
Scottish Borders,87.4,33.4,66.6,27906,55553
Shetland Islands,84.4,36.3,63.7,5669,9951
South Ayrshire,86.1,42.1,57.9,34402,47247
South Lanarkshire,85.4,45.3,54.7,100990,121800
Stirling,90.1,40.2,59.8,25010,37153
West Dunbartonshire,87.9,54,46,33720,28776
West Lothian,86.2,44.8,55.2,53342,65682